Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
640,1.48164e-51,0.117039,5000,1.04297,15.4268,1,0.0429688,0.0478516,0.0478516
641,1.48164e-51,0.117039,5000,1.03809,15.3779,1,0.0380859,0.0458984,0.0458984
642,1.48164e-51,0.117039,5000,1.03906,15.4033,1,0.0390625,0.0556641,0.0556641
643,1.4773e-51,0.117123,5000,1.04199,15.4414,0.998047,0.0439453,0.0458984,0.0458984
644,1.48019e-51,0.117054,5000,1.04199,15.4268,1,0.0419922,0.0458984,0.0458984
645,1.48164e-51,0.117039,5000,1.03711,15.4404,1,0.0371094,0.0585938,0.0585938
646,1.47875e-51,0.117088,5000,1.03711,15.417,0.999023,0.0380859,0.0546875,0.0546875
647,1.48164e-51,0.117039,5000,1.03906,15.4238,1,0.0390625,0.0400391,0.0400391
648,1.48019e-51,0.117054,5000,1.04102,15.4131,1,0.0410156,0.0478516,0.0478516
649,1.48164e-51,0.117039,5000,1.03613,15.4062,1,0.0361328,0.0498047,0.0498047
650,1.4773e-51,0.117137,5000,1.03418,15.3936,0.998047,0.0361328,0.0498047,0.0498047
651,1.48164e-51,0.117039,5000,1.04102,15.4033,1,0.0410156,0.0576172,0.0576172
652,1.48019e-51,0.117061,5000,1.03223,15.3691,1,0.0322266,0.0595703,0.0595703
653,1.48019e-51,0.117068,5000,1.03223,15.373,1,0.0322266,0.0556641,0.0556641
654,1.48019e-51,0.117073,5000,1.0332,15.4111,0.999023,0.0341797,0.0507812,0.0507812
655,1.48164e-51,0.117039,5000,1.03613,15.4141,1,0.0361328,0.046875,0.046875
656,1.48164e-51,0.117039,5000,1.03516,15.416,1,0.0351562,0.0556641,0.0556641
657,1.48164e-51,0.117039,5000,1.03125,15.4121,1,0.03125,0.0371094,0.0371094
658,1.48019e-51,0.117054,5000,1.03711,15.3984,1,0.0371094,0.0634766,0.0634766
659,1.48164e-51,0.117039,5000,1.04102,15.4307,1,0.0410156,0.0478516,0.0478516
660,1.48019e-51,0.117054,5000,1.04883,15.4414,1,0.0488281,0.0390625,0.0390625
661,1.48164e-51,0.117039,5000,1.04492,15.4395,1,0.0449219,0.0449219,0.0449219
662,1.48019e-51,0.117073,5000,1.04395,15.4424,1,0.0449219,0.0644531,0.0644531
663,1.48164e-51,0.117039,5000,1.04883,15.4932,1,0.0488281,0.0546875,0.0546875
664,1.48019e-51,0.117054,5000,1.04102,15.4023,1,0.0410156,0.046875,0.046875
665,1.48019e-51,0.117054,5000,1.04004,15.3584,1,0.0400391,0.0322266,0.0322266
666,1.48164e-51,0.117039,5000,1.03809,15.3809,1,0.0380859,0.0537109,0.0537109
667,1.48019e-51,0.117054,5000,1.03809,15.3643,1,0.0380859,0.0566406,0.0566406
668,1.47785e-51,0.11707,5000,1.04199,15.4102,1,0.0419922,0.0615234,0.0615234
669,1.48164e-51,0.117039,5000,1.03809,15.3936,1,0.0380859,0.0683594,0.0683594
670,1.48019e-51,0.117054,5000,1.03223,15.3857,1,0.0322266,0.0527344,0.0527344
671,1.48164e-51,0.117039,5000,1.03809,15.3945,1,0.0380859,0.046875,0.046875
672,1.4773e-51,0.117123,5000,1.03516,15.3291,0.998047,0.0371094,0.0458984,0.0458984
673,1.47875e-51,0.117069,5000,1.03027,15.3281,1,0.0302734,0.0498047,0.0498047
674,1.48164e-51,0.117039,5000,1.03418,15.3555,1.00098,0.0332031,0.046875,0.046875
675,1.48164e-51,0.117039,5000,1.03125,15.3486,1.00098,0.0302734,0.0605469,0.0605469
676,1.48164e-51,0.117039,5000,1.03125,15.3398,1,0.03125,0.0478516,0.0478516
677,1.48164e-51,0.117039,5000,1.03906,15.2812,1,0.0390625,0.0458984,0.0458984
678,1.47641e-51,0.117092,5000,1.04297,15.293,1,0.0429688,0.0556641,0.0556641
679,1.48164e-51,0.117039,5000,1.04199,15.2578,1,0.0419922,0.0410156,0.0410156
680,1.4802e-51,0.117044,5000,1.04199,15.2432,1.00098,0.0410156,0.0429688,0.0429688
681,1.48164e-51,0.117039,5000,1.04395,15.2637,1,0.0439453,0.0410156,0.0410156
682,1.48019e-51,0.117054,5000,1.04688,15.3467,1,0.046875,0.0595703,0.0595703
683,1.48019e-51,0.117054,5000,1.03906,15.3184,1,0.0390625,0.0585938,0.0585938
